,Model,Train_Condition,Class,TP,FP,FN,TN,Recall,Precision,Specificity,FPR,FNR,f1_score,Accuracy,AUC
0,EfficientNet,Imbalanced,Covid,327,39,73,761,0.8175,0.8934,0.9512,0.0488,0.1825,0.8538,0.8375,0.9664
1,EfficientNet,Imbalanced,Normal,341,100,59,440,0.8525,0.7732,0.8148,0.1852,0.1475,0.8109,0.8375,0.9408
2,EfficientNet,Imbalanced,Viral Pneumonia,337,56,63,744,0.8425,0.8575,0.93,0.07,0.1575,0.8499,0.8375,0.9589
