,Gen_Loss,Dis_Loss
0,183625.796875,84893031727104.0
1,184201.46875,32417490403328.0
2,187144.328125,456926232576.0
3,193461.0625,5272745984.0
4,196828.6875,15319308288.0
5,200154.53125,9970549760.0
6,203553.625,1116471689216.0
7,206868.6875,39900506226688.0
8,200652.9375,34928047685632.0
9,204860.765625,41645852590080.0
10,173400.203125,6551061397504.0
11,204230.15625,7183365832704.0
12,102181.875,1913505972224.0
13,213169.703125,54576476585984.0
14,197356.09375,22105720619008.0
15,225368.15625,13910252978176.0
16,214585.546875,25783751933952.0
17,219907.40625,15673280430080.0
18,196611.65625,12845361135616.0
19,227182.03125,39961541738496.0
20,240762.828125,37987152822272.0
21,237479.5,82537149890560.0
22,252368.15625,266757029756928.0
23,242021.625,39038509645824.0
24,256077.171875,2781333159936.0
25,222535.484375,8865176354816.0
26,252624.765625,164140412829696.0
27,250990.8125,375575126474752.0
28,276540.28125,3846039040.0
29,281052.90625,6553090560.0
30,285396.0,6562619904.0
31,289453.78125,9023686656.0
32,293042.65625,11696663552.0
33,297022.84375,13945631744.0
34,300640.4375,832624525312.0
35,285518.59375,7953236992.0
36,295498.0625,150060620840960.0
37,294738.3125,83590482231296.0
38,309815.71875,147749156683776.0
39,311903.25,5599555223552.0
40,322936.125,40904601600.0
41,326799.6875,16551759872.0
42,330682.15625,5421823906807808.0
43,322169.53125,1377924695457792.0
44,325141.84375,1048230389350400.0
45,328159.375,3362080266649600.0
46,346976.375,1586180390912.0
47,352596.0625,987083243520.0
48,356671.34375,809198078132224.0
49,349029.0625,1066097520410624.0
50,362818.1875,127182397440.0
51,369531.9375,117729411072.0
52,373927.65625,145013932032.0
53,378435.65625,620250202112.0
54,382502.84375,13696374931456.0
55,386554.5625,805818073088000.0
56,390198.59375,365607379795968.0
57,348375.0625,45750780166144.0
58,393865.71875,610535842250752.0
59,378416.875,68879535570944.0
60,342149.125,55930016235520.0
61,362181.3125,1483167366119424.0
62,369461.1875,446361187123200.0
63,387373.40625,1008429598507008.0
64,389764.25,164468239630336.0
65,419457.65625,1159403872976896.0
66,400283.46875,1236857165709312.0
67,408398.78125,119194569932800.0
68,421915.625,493036006014976.0
69,410925.84375,86504718204928.0
70,438711.0,473066756898816.0
71,435155.0625,871389741449216.0
72,431402.3125,504149435219968.0
73,434818.78125,431509022441472.0
74,426661.75,75625616375808.0
75,462242.34375,498677110013952.0
76,443989.125,183028538146816.0
77,400540.9375,63454333370368.0
78,444108.3125,222246438174720.0
79,468384.875,186123716395008.0
80,428640.28125,310025302048768.0
81,446905.25,269529145933824.0
82,466208.3125,133367836180480.0
83,479660.4375,166541182107648.0
84,477068.3125,150727766835200.0
85,-194579.0,76944750149632.0
86,492301.75,61683011682304.0
87,495399.25,289007611150336.0
88,506719.09375,18342417006592.0
89,520640.40625,103628459212800.0
90,518714.5625,102651278655488.0
91,505804.8125,334726900482048.0
92,463369.65625,51688933163008.0
93,532239.5625,364651716018176.0
94,519973.46875,171616759709696.0
95,542453.6875,22103459889152.0
96,538717.875,363485800169472.0
97,560360.75,15824015327232.0
98,583041.3125,16789699297280.0
99,590717.3125,14825997467648.0
100,588644.75,760093649928192.0
101,573237.6875,65297570594816.0
102,568197.8125,207016685469696.0
103,552264.625,74006656974848.0
104,567826.0,3755703795712.0
105,581940.6875,452818100027392.0
106,596016.625,1712407621664768.0
107,554623.875,17292046893056.0
108,537219.5,39068779937792.0
109,602808.3125,94935185358848.0
110,615216.5625,138232129912832.0
111,610736.875,629235056115712.0
112,626258.125,40285333618688.0
113,637929.9375,1716810500014080.0
114,650992.5625,35933244096512.0
115,587467.9375,437595762851840.0
116,632050.25,421497487228928.0
117,655108.75,1320976381902848.0
118,652174.5,1170990755217408.0
119,651202.8125,73135625863168.0
120,599830.6875,371003435778048.0
121,691740.0625,144462617509888.0
122,679250.9375,448125445603328.0
123,662788.875,1223915087069184.0
124,697113.125,234431965036544.0
125,708119.75,160917627076608.0
126,700840.75,626686597005312.0
127,717401.625,1267605910323200.0
128,724304.625,6950135267328.0
129,735157.6875,155994218823680.0
130,729493.9375,926212113301504.0
131,744170.625,353833163161600.0
132,755423.1875,122045320921088.0
133,740816.5625,620899262791680.0
134,768188.5625,88937540354048.0
135,755608.625,672816357703680.0
136,792444.375,4487393574912.0
137,764251.75,198587510161408.0
138,806040.625,403634617581568.0
139,799484.6875,89117257891840.0
140,813715.25,58593462190080.0
141,805788.625,1316699802435584.0
142,744391.8125,166288936665088.0
143,731248.5,4038180732928.0
144,740082.4375,72216175706112.0
145,843177.1875,183745311145984.0
146,727328.875,35131286880256.0
147,793600.9375,860997396987904.0
148,832943.0,82555873263616.0
149,875974.75,1758314111172608.0
150,847332.5625,639793092362240.0
151,861732.5625,1391097091719168.0
152,865288.5,487193072107520.0
153,891571.75,1864426378493952.0
154,890911.1875,1030125692911616.0
155,884486.375,36462770782208.0
156,893789.125,40684186763264.0
157,908718.5,390497688354816.0
158,894422.625,1033018286276608.0
159,-62469.265625,25736452767744.0
160,906692.25,238972617883648.0
161,921266.125,426585547079680.0
162,957834.8125,5503541313536.0
163,896900.0625,33231109881856.0
164,962208.375,62844271853568.0
165,980288.8125,121140349501440.0
166,974335.625,505652506001408.0
167,993858.4375,205282676310016.0
168,987346.25,183320595922944.0
169,987845.75,64229935677440.0
170,993172.5625,461732975738880.0
171,993792.125,41149335076864.0
172,995136.625,207058007752704.0
173,968088.0,17638723944448.0
174,943434.5625,489249388363776.0
175,1012377.125,1588836580720640.0
176,1042788.6875,2497550594605056.0
177,978761.9375,8514385043521536.0
178,1016506.1875,1269923582050304.0
179,1043183.625,186552072273920.0
180,999578.4375,573467657240576.0
181,1081796.5,2047894899130368.0
182,1011034.125,3494626715500544.0
183,1055997.75,1110736860348416.0
184,1024506.9375,812872154218496.0
185,1009954.4375,154794161340416.0
186,893456.375,861413136400384.0
187,950823.3125,411914609885184.0
188,1100696.375,67740270329856.0
189,1121143.125,118176494911488.0
190,1145505.0,189777525604352.0
191,1149456.0,20573887397888.0
192,1132520.5,45585331650560.0
193,1034913.9375,983437385138176.0
194,1162498.125,351110925647872.0
195,989450.75,657468090744832.0
196,1198064.75,1317250229338112.0
197,1193531.125,30225427595264.0
198,1214140.75,628266272555008.0
199,1160257.0,120696248205312.0
200,1142824.5,2439339023794176.0
201,1207699.375,58175898255360.0
202,1227783.375,8207430173327360.0
203,1232065.375,168972301369344.0
204,1223529.75,59481652199424.0
205,1256233.5,1012615581007872.0
206,1223780.125,158086790643712.0
207,1265335.75,781028729815040.0
208,1292089.875,135909878005760.0
209,1312417.125,417774488780800.0
210,1274361.75,128089212321792.0
211,1110737.5,3036922788184064.0
212,1311564.0,7809477294161920.0
213,1315390.875,12380094332928.0
214,1310636.25,74141931667456.0
215,1360646.625,359470039302144.0
216,1380073.125,1085717736325120.0
217,1384391.75,3245229507346432.0
218,658209.9375,32183859281920.0
219,984096.0625,15753654829056.0
220,1336017.5,1656932481892352.0
221,1366873.75,35379570802688.0
222,1308227.25,4909598054023168.0
223,1178276.25,813646053638144.0
224,1122889.25,750119259471872.0
225,1374967.625,665867301945344.0
226,439523.125,3987288723816448.0
227,1335138.75,4363894541778944.0
228,1418656.25,666439673446400.0
229,1434950.875,659575913054208.0
230,1186438.25,151921834852352.0
231,1407193.75,403536873521152.0
