,Gen_Loss,Dis_Loss
0,12107904.0,1.5301171031834624e+16
1,18119842.0,6.850788259518218e+17
2,17671278.0,8277369420775424.0
3,17710096.0,6559055011119104.0
4,17323706.0,4700940489719808.0
5,17731186.0,2237491667009536.0
6,17740938.0,2.038965715809075e+16
7,17521790.0,2.334382371110912e+16
8,15608380.0,1.8382984012890112e+17
9,18151042.0,1.0823411001458688e+16
10,17684872.0,4.012543990510387e+16
11,17715938.0,5.24968526830633e+16
12,17021486.0,1.2305654423475978e+18
13,18105320.0,6388430455963648.0
14,18404670.0,6610515698647040.0
15,18315638.0,1.878823779958784e+16
16,17997882.0,1.238374362906624e+16
17,17502044.0,5446982214615040.0
18,18210758.0,1.1257467912585216e+16
19,18026230.0,1.4010987552178176e+16
20,18597414.0,3.930687497306112e+16
21,18172282.0,1.214651111047168e+16
22,18675504.0,3021610156032000.0
23,18376558.0,3.5140182029316915e+17
24,18700358.0,2.4920448223412224e+17
25,18199414.0,4.48421386298327e+16
26,15869543.0,1.7455736651408998e+18
27,18601684.0,2903593581543424.0
28,17911226.0,8.926051173442519e+17
29,18580108.0,9.922304915475005e+17
30,18684906.0,2.560662723100672e+16
31,18408244.0,2040859071610880.0
32,17100260.0,1.4218355230428365e+18
33,17396430.0,5575363082059776.0
34,18699934.0,4577232546693120.0
35,17444300.0,5.644957293310116e+17
36,18324688.0,3.914752739141222e+16
37,18667288.0,1.1824085768077312e+16
38,19067998.0,9906012429484032.0
39,18763222.0,3157321995780096.0
40,18928480.0,4.456099350661038e+17
41,19083190.0,1.2657582153924608e+17
42,17225860.0,6.397393644688507e+17
43,15584368.0,1.6757887573426176e+16
44,17977398.0,1.7951061700509696e+16
45,18846046.0,6366950787645440.0
46,18560626.0,5684884211236864.0
47,19028432.0,3.0707895179935744e+16
48,19193164.0,1.7840305231364096e+16
49,18720696.0,9.104507408188703e+17
50,16655448.0,1.2364933819793408e+16
51,19045342.0,1.4550102584590336e+16
52,18218422.0,3.1000955745028014e+18
53,18830720.0,9545831103332352.0
54,18925840.0,1.837300250889421e+16
55,19263198.0,3.74996772889559e+16
56,19396548.0,9.079648481076838e+16
57,16749980.0,2635607486496768.0
58,18140800.0,6.309282047013683e+16
59,18817876.0,1.9600246464053248e+17
60,19578918.0,1.3596313828458496e+16
61,19362274.0,2.848373382439764e+18
62,19449752.0,1.676883050585129e+17
63,18307090.0,5906994686853120.0
64,19967410.0,3159070315905024.0
65,19161578.0,9696127041404928.0
66,19849690.0,7.230793909167718e+16
67,19430288.0,8813665344028672.0
68,20256212.0,44389955010560.0
69,20310592.0,20949665579008.0
70,20418024.0,11976549859328.0
71,20421188.0,17960947154944.0
72,20429080.0,33666419916800.0
73,20526396.0,26484146176000.0
74,20553948.0,199054940176384.0
75,20554334.0,168998507380736.0
76,20328182.0,2.9935668650049536e+16
77,-2897172.25,6388091690418176.0
78,19613572.0,5478968446681088.0
79,19240490.0,2.059936323128525e+16
80,20537636.0,2.963468335490007e+18
81,20297382.0,1.0314162097881088e+17
82,20521834.0,2.1910964639105024e+18
83,20176220.0,8658972970057728.0
84,20468850.0,1477525926576128.0
85,19834626.0,222998778871808.0
86,20184512.0,7.895311524082745e+18
87,20159506.0,3.228723411156992e+16
88,20586306.0,1.2229352439676928e+16
89,20241788.0,1.8977213354134733e+17
90,20914402.0,367002069762048.0
91,20553800.0,3.19925860406657e+18
92,18933706.0,9.527320653280051e+16
93,20475966.0,3323526492717056.0
94,20643976.0,2108727205298176.0
95,20628240.0,2.321391168782336e+16
96,20640736.0,1.2414266243651994e+17
97,20499864.0,1.7642347826459443e+17
98,19741520.0,2.9824087976679834e+17
99,20615590.0,1403648194117632.0
100,19781454.0,3.384102657772749e+17
101,20417160.0,5.552367934531174e+16
102,20647270.0,1.2577165333757952e+16
103,20935724.0,4015019717033984.0
104,19635596.0,6251513877889024.0
105,21008652.0,3779124275445760.0
106,20572420.0,5.220160288724091e+17
107,20547050.0,2149100837404672.0
108,20594240.0,1.5023698019751035e+18
109,20671868.0,1.7367812657905664e+16
110,18752900.0,7145536553484288.0
111,20721652.0,8864994498183168.0
112,18803028.0,6.090138642179686e+16
113,20691284.0,1.1668704588726272e+17
114,21488794.0,3.249397450984653e+16
115,21293474.0,1.664891501894697e+17
116,20517576.0,6.151200621723648e+16
117,20542262.0,8.587216736695091e+16
118,21194804.0,1.5985636347478016e+16
