,Model,Train_Condition,Class,TP,FP,FN,TN,Recall,Precision,Specificity,FPR,FNR,f1_score,Accuracy,AUC
0,GoogLeNet,DCGAN Augmentation,Covid,381,24,19,776,0.9525,0.9407,0.97,0.03,0.0475,0.9466,0.9333,0.9921
1,GoogLeNet,DCGAN Augmentation,Normal,393,52,7,386,0.9825,0.8831,0.8813,0.1187,0.0175,0.9302,0.9333,0.9925
2,GoogLeNet,DCGAN Augmentation,Viral Pneumonia,346,4,54,796,0.865,0.9886,0.995,0.005,0.135,0.9227,0.9333,0.9912
